model,term,estimate,std_error,p_value,exp_estimate,ci_l,ci_u,sig
stops_tour,niv_f6,0.583390178702764,0.123118706059484,2.17901609065127e-06,1.79210369555694,0.342077514826176,0.824702842579352,***
stops_tour,niv_f7,0.805574947485,0.135664250792601,2.96682304607442e-09,2.2379828516039,0.539673015931501,1.0714768790385,***
stops_tour,niv_f8,1.06201725458208,0.123903449769878,1.15069326226288e-17,2.89219941110049,0.81916649303312,1.30486801613104,***
stops_tour,niv_f9,1.54823414491088,0.138251001048455,5.80086587503099e-29,4.7031577504269,1.27726218285591,1.81920610696585,***
stops_tour,niv_fNo especificado,-4.04674972627526,0.702635375099256,8.65391423743359e-09,0.0174790942532085,-5.4239150614698,-2.66958439108072,***
stops_tour,adultos_65mas,-0.216935708965072,0.029445322028606,1.85639425924722e-13,0.804981720749332,-0.274648540141139,-0.159222877789004,***
stops_tour,jefa_mujer,0.0664982116632168,0.0350092196373979,0.0575300286562227,1.06875905277234,-0.00211985882608308,0.135116282152517,*
stops_tour,ent_f13,-0.389799424674074,0.283702549703471,0.169476555299566,0.677192689021504,-0.945856422092877,0.16625757274473,""
stops_tour,ent_f15,-0.478320752914333,0.0355104601950812,4.74863544429296e-41,0.619823354946647,-0.547921254896692,-0.408720250931973,***
stops_tour,mujer:desventaja,0.323183819013136,0.0532306849524582,1.30734770428653e-09,1.38151927707683,0.218851676506318,0.427515961519954,***
stops_tour,mujer:hay_menores12,0.409521386624953,0.0474845907294317,7.27465737947215e-18,1.50609677452356,0.316451588795267,0.502591184454639,***
chain_comp,(Intercept),-3.65518440037769,0.132457865264937,1.84566540376387e-162,0.0258567290529259,-3.91480181629696,-3.39556698445841,***
chain_comp,mujer,-0.0332289960445268,0.0383767268571746,0.386582891903312,0.967317022452491,-0.108447380684589,0.0419893885955354,""
chain_comp,sin_auto,-0.563641170544273,0.0417612843524918,3.31745273306168e-41,0.569132976219221,-0.645493287875157,-0.481789053213389,***
chain_comp,periferia,0.0150153202276455,0.0517555372119483,0.77172950958268,1.01512861649808,-0.0864255327077731,0.116456173163064,""
chain_comp,pobreza_multi,0.156607763621804,0.0809763843578092,0.0531380144989774,1.16953678904859,-0.00210594971950165,0.315321476963111,*
chain_comp,alta_desoc,0.125482384899017,0.03763879764678,0.000859159186882374,1.13369519862923,0.0517103415113279,0.199254428286705,***
chain_comp,hay_menores12,0.17027532918651,0.0406233061167028,2.79065719157741e-05,1.18563124527167,0.0906536491977722,0.249897009175247,***
chain_comp,edad,0.0145142322980403,0.00368427527857002,8.21219480775241e-05,1.01462007522395,0.00729305275204301,0.0217354118440375,***
chain_comp,I(edad^2),-0.000141729342608985,4.38153452885516e-05,0.00122109489242092,0.99985828070052,-0.000227607419374546,-5.58512658434241e-05,***
