distrito,pct_chain_total,pct_chain_mujer,pct_chain_hombre,pct_desventaja,tiempo_med_dist,n_viajeros,brecha_genero
5,7.26854837032261,7.2684287099903,7.26867526678953,0,46.2370229476009,748,-0.000246556799225139
36,7.25786677564365,7.78298163447877,6.69415885210711,0,42.2166527893422,644,1.08882278237166
300,3.82494178467572,4.54933501078361,3.11222121526934,0,50.741850061703,820,1.43711379551427
169,3.68619577188861,4.38746898513304,3.0305887677743,63.0376514390979,57.5538265009871,913,1.35688021735874
170,6.91325666661759,6.65724880805227,7.16958891999411,58.8532387024576,44.3196988707654,960,-0.512340111941837
171,4.41585810247179,5.45479224282733,3.30142321552069,30.4324537911051,40.9651470820813,736,2.15336902730664
172,4.26621160409556,3.26017252435821,5.29707272611654,35.2949182353064,39.0753917414014,804,-2.03690020175833
206,1.40097438010519,1.57951535367409,1.22658233913085,17.8430326974816,60.9327910180108,734,0.352933014543239
207,3.52693454992104,4.15548335452277,2.90623328915859,70.4404281452887,37.8633717290597,933,1.24925006536418
134,5.44097789780399,6.97258474694687,3.85572139303483,54.8049179162817,44.088407150019,840,3.11686335391205
111,6.62927625924016,7.6826465082111,5.75550881607139,22.5631768953069,52.5207520891365,700,1.9271376921397
116,3.24773616845952,3.25723450723451,3.23724052112596,50.7366969107992,47.6172084058459,851,0.0199939861085428
117,5.71857167472456,8.34491213731099,3.13348484543754,50.044090370055,60.334354131268,732,5.21142729187345
118,3.80847903540536,3.89348932614146,3.7195909045775,62.6598192355859,57.6321351288893,801,0.173898421563957
141,2.92638155920716,3.92650484707297,2.04040874746197,100,68.3291132980565,759,1.886096099611
142,5.18327280980481,6.18436202505146,3.99818264425261,100,61.3932304326689,784,2.18617938079885
143,6.48363467240277,8.54414425101575,4.50334900954824,100,65.9318534705849,786,4.04079524146751
132,4.95291689053531,6.52376762910235,3.17909504169552,42.5373978452054,44.8214773347897,842,3.34467258740683
128,6.1506420055029,7.06202263366258,5.31669654945296,41.9118771018037,46.7365448265938,745,1.74532608420961
130,1.63433335048629,1.15661736822146,2.09058532364836,54.7481088869449,39.0787772352703,744,-0.933967955426899
131,5.2395725611858,7.60744144618312,2.99601043424889,57.3230905599055,54.3824751618959,762,4.61143101193423
197,3.68603389751426,5.60360199714693,1.58081487825768,64.1941466714881,70.061926678305,827,4.02278711888926
202,4.3416572077185,4.62986845499097,4.06589338598223,70.1838188926725,72.5656601539373,811,0.563975069008741
203,6.13374828110299,6.76848152438592,5.47250203186957,0,56.9705989884833,873,1.29597949251635
204,3.45236048222235,4.85909021289631,2.05147759771211,69.7502913585908,69.9461143056282,717,2.8076126151842
205,5.47674869701621,5.67421930792703,5.26315789473684,0,56.6850791512294,778,0.411061413190186
188,3.34447828718264,4.39860679500282,2.38807099875109,97.8937029357198,70.8870149154496,879,2.01053579625173
189,7.73765020750035,6.73264931766413,8.9058106841612,58.2463782249239,69.9339856768064,764,-2.17316136649707
190,4.51701577876739,6.14267974136085,2.80069621826895,93.051844521414,71.5305180508767,1018,3.34198352309191
191,2.59313313578937,3.53969238036194,1.6489988221437,84.6063125617325,80.66999356085,831,1.89069355821824
185,8.42469649126248,12.2239807069108,4.3007893983394,100,78.1032396133127,784,7.92319130857145
186,4.37561829388935,5.76196833873736,2.99631864586891,100,65.159578786504,819,2.76564969286845
187,3.53991066034092,5.04399286708079,2.00272370423776,100,70.8714093148647,957,3.04126916284303
146,2.58664412510566,2.68308672035962,2.49712037902332,60.0811496196112,58.6689093199668,892,0.185966341336298
147,2.70978039929668,3.93636756372138,1.52791380999021,100,63.1728410964551,795,2.40845375373117
148,0.988644543357866,0.871139975645549,1.09304777229096,76.8425073083308,59.4309135977337,739,-0.221907796645413
149,1.38418333183422,1.94772631536718,0.824602637135004,100,67.7851836827828,952,1.12312367823218
150,5.8208767290846,6.86060870196848,4.80059873837272,63.0762865828432,46.4887301148699,707,2.06000996359576
151,5.00451070699397,5.87079981069569,4.13252667682927,63.3125207729927,53.3096586077026,759,1.73827313386643
154,5.40953641549274,5.08393856411478,5.7757985669323,60.3038038511235,57.8499171410044,715,-0.691860002817522
155,5.27546397778752,5.74736195061981,4.73272848670516,57.2354961274295,52.422921672273,714,1.01463346391466
156,10.6423867201296,13.0905614100725,8.19644896687779,100,63.9272811166225,890,4.89411244319475
157,2.1512805241215,1.93473248876952,2.36884208515414,65.2686122692079,51.5116800318773,707,-0.434109596384622
158,6.65864284382363,7.00867807479176,6.32715030695095,51.863843637165,51.3002027675999,769,0.681527767840806
159,7.11332213464272,7.90636518440282,6.32167832167832,54.1230563811001,60.8550153092468,810,1.5846868627245
160,5.78868839464727,7.32544916988856,4.17284422975752,53.40607077913,51.6909453607746,783,3.15260494013104
161,6.11973751097555,5.78087933853843,6.46081090479171,100,64.7299341835759,791,-0.679931566253281
162,4.98426442161765,6.18932829500293,3.82457130317565,54.2470086425867,58.4410011067871,725,2.36475699182728
163,4.75830647849761,6.27867831861468,3.34398661547371,65.945105011668,67.5932570771963,772,2.93469170314097
164,4.38647396394654,5.64858469264257,3.07319273711515,44.8107515590313,67.9175120609586,774,2.57539195552742
168,0.462483605991579,0,0.852580008907552,95.18878994961,62.2941634493722,475,-0.852580008907552
133,2.39037022281665,3.93527403486798,1.02285325989771,11.9518511140833,56.5313126578653,825,2.91242077497027
100,1.01857212147763,0.864386591798537,1.14979147358665,68.0315428786006,61.123507451174,727,-0.285404881788118
101,4.81550332323207,4.5870377528669,5.03863287443687,0,43.0028518230456,586,-0.451595121569967
102,3.32382525146374,2.64729950900164,3.97178406975605,0,43.8152649393322,756,-1.32448456075441
194,3.4323314956429,4.41977121184315,2.32518261943139,32.27976007631,58.2580942151297,758,2.09458859241176
195,4.07566850630009,4.76545865618895,3.35176226675881,73.3530410152079,72.4114291750291,879,1.41369638943014
196,5.46900182658214,5.82407750889214,5.12456871917533,64.0227785537767,69.5342693638541,862,0.69950878971681
198,7.8646854931886,10.2431610942249,5.61395251542726,57.4589569282855,63.2224369699417,813,4.62920857879767
135,6.04967326507938,8.75979927387092,3.15342032423883,65.7591360340235,47.1211498370379,763,5.60637894963209
144,3.05171045670958,3.60912949752206,2.50333413498327,100,63.9597119119021,810,1.10579536253878
103,5.53321098051466,7.36995307520514,3.5536564257897,0,55.6665343753816,781,3.81629664941544
104,1.46306472132745,1.77353717553894,1.16210885441655,0,58.0638934914683,890,0.611428321122389
105,1.47749196141479,1.56176371592057,1.40043090181594,0,48.8971962616822,646,0.161332814104622
106,4.13094677343382,3.38137126458294,4.89061709661103,0,49.376008243613,663,-1.50924583202808
107,0.94380451428191,1.34450232296213,0.584259727134917,0,53.1702932828761,715,0.760242595827212
108,4.10847547974414,5.30106921778278,3.03544303797468,0,55.5397284356133,692,2.2656261798081
109,6.0491967871486,4.62633451957295,7.50359529650622,0,45.5013745305301,587,-2.87726077693326
110,4.73846595393557,5.32319391634981,4.20019843457171,13.6786969936141,51.8849601184113,617,1.1229954817781
152,6.86071353990972,5.41206169380907,8.44138394356735,0,53.9264791818846,734,-3.02932224975828
153,7.35691742427811,7.3575993331481,7.35621165644172,0,54.3928269532665,767,0.00138767670637918
176,5.84392416431884,7.87305812432594,3.49848814386505,0,56.7023366572407,835,4.37456998046089
177,6.08824619948091,7.15254620471373,4.91276257061706,0,51.2840067104711,711,2.23978363409667
178,2.18015057507909,3.25371236546932,0.919705694177863,0,50.3023718560968,656,2.33400667129146
179,2.90788286440817,3.7065958665209,2.02430315595485,0,57.9395886484614,761,1.68229271056605
180,7.10537787177707,8.74398385343891,5.33059796865541,0,53.6844045055491,688,3.4133858847835
181,3.5252149623921,4.71877103861926,2.06721244065642,0,59.2819434796915,645,2.65155859796283
182,3.53274856872735,3.91039084842707,3.06936483799275,0,58.9990304295943,823,0.841026010434326
183,3.08057172570356,3.08902582929068,3.07265314142555,0,54.8086436680744,679,0.016372687865124
184,3.58619908220497,4.24287696083662,2.84299516908213,72.8411987989349,63.1346234200355,773,1.3998817917545
165,0.929566202438862,1.16283375921194,0.738834216502649,4.48790564403278,53.3264413988658,749,0.42399954270929
119,5.80376382703635,6.65253114232706,4.96561897737277,100,61.4658103701491,977,1.68691216495429
120,5.06999460487833,5.48642695729283,4.65961945031713,100,69.0556858147714,801,0.826807506975704
121,3.43561525808726,4.52161847823869,2.43379072787848,100,71.2394619227062,774,2.08782775036021
123,7.64951807861179,9.6890867357585,5.58547143912998,100,62.1619686119153,795,4.10361529662853
192,6.41627543035994,7.32448180341962,5.5099044822787,0,59.8919096045198,734,1.81457732114092
193,2.8100412139378,3.16799811568885,2.44873699851412,73.8636587722585,72.2925561029009,816,0.719261117174738
166,1.91086221395216,2.25978954631706,1.53497361183379,38.2244010663613,52.5927220238548,771,0.724815934483269
167,0.345339081258981,0.68584579976985,0,0,56.4320240886805,768,0.68584579976985
175,7.47262862125763,8.42428376534789,6.53179190751445,0,52.8975414799564,840,1.89249185783344
122,3.026374714215,3.19851776006241,2.86529029314475,16.8642609658944,45.9315203060776,831,0.333227466917663
173,4.79548263849871,3.60454271136227,6.04525303701998,0,39.9853041907964,863,-2.44071032565771
174,8.94923580786026,11.0157367668097,6.8363094416692,0,38.0059059614318,647,4.17942732514053
112,4.38172121353423,5.8462301894985,3.08385784569717,15.6646169090432,55.3920570264766,647,2.76237234380133
113,3.55493587271451,4.24548456010876,2.83860829623063,49.6059410444293,45.4279104477612,778,1.40687626387812
114,4.35072411076774,4.11149825783972,4.61168123653871,53.6011634248319,52.0840449218272,599,-0.500182978698984
115,2.86937964099866,3.09055543548736,2.67051605918441,66.9999415307256,52.699767239687,516,0.420039376302947
139,2.89406061489676,3.38797401420154,2.43352702940659,77.6894898944798,57.8240813427536,665,0.954446984794955
140,1.96279205840503,2.02065205996436,1.90319358583268,78.777643319725,54.8944282554506,828,0.117458474131676
136,1.81078071664567,2.17487141807495,1.45122083953126,60.8400416187503,48.734556464368,789,0.723650578543689
137,5.2929852003369,6.70339301364718,3.98841922408801,53.934544579473,54.5224118024375,745,2.71497378955916
129,3.16679444586421,4.03776032928439,2.37558170253409,52.5396115512395,52.2007831238853,768,1.6621786267503
138,6.62635765830111,7.83053671307866,5.33540863973872,51.0245548358496,47.5987872809563,800,2.49512807333995
145,6.15558091511792,6.65775553153973,5.69630130572751,100,66.3291935084242,764,0.961454225812217
124,4.2054954815243,4.86435654850108,3.56036719774547,39.4679336256362,51.0717010337774,765,1.30398935075561
125,4.37816390751129,4.2057391990679,4.56498279477939,40.3778120907687,47.1128819652487,644,-0.359243595711489
126,10.0279222029655,9.71165541749147,10.3501056876989,34.3045927209705,46.9907400120668,721,-0.63845027020745
127,7.23164533708897,8.84466049099636,5.61398129694926,56.6759537076725,47.242448856799,757,3.2306791940471
199,2.50561622811895,2.92328013685282,2.06461348514987,100,66.295821644766,828,0.858666651702945
200,5.5042276268288,4.74628639334522,6.26112548358769,100,65.9792891356412,819,-1.51483909024247
201,5.00811716751732,8.30531271015467,1.88700693418211,100,77.5729495873094,724,6.41830577597257
